Athlete,Split,Average Time
Benjamin,H1,5.7365
Warholm,H1,5.6345
dos Santos,H1,5.747999999999999
Benjamin,H2,3.6409999999999996
Warholm,H2,3.559
dos Santos,H2,3.6195
Benjamin,H3,3.7045000000000003
Warholm,H3,3.6285
dos Santos,H3,3.6605
Benjamin,H4,3.814
Warholm,H4,3.6979999999999995
dos Santos,H4,3.7049999999999996
Benjamin,H5,3.9005
Warholm,H5,3.8185000000000002
dos Santos,H5,3.8515
Benjamin,H6,3.9539999999999997
Warholm,H6,3.9524999999999997
dos Santos,H6,4.0235
Benjamin,H7,4.0335
Warholm,H7,4.0705
dos Santos,H7,4.136
Benjamin,H8,4.172
Warholm,H8,4.2195
dos Santos,H8,4.2385
Benjamin,H9,4.314500000000001
Warholm,H9,4.394
dos Santos,H9,4.375500000000001
Benjamin,H10,4.4815
Warholm,H10,4.595000000000001
dos Santos,H10,4.4935
Benjamin,Run in,5.202
Warholm,Run in,5.2780000000000005
dos Santos,Run in,5.2755
