Athlete,Year,Normal_Stride
Warholm,2022.0,0.6666666666666666
Benjamin,2018.0,1.0
Benjamin,2019.0,0.4
Benjamin,2021.0,1.0
Benjamin,2022.0,0.6666666666666666
Benjamin,2023.0,0.75
Benjamin,2024.0,0.75
Warholm,2016.0,0.0
Warholm,2017.0,0.0
Warholm,2018.0,0.2857142857142857
Warholm,2019.0,0.42857142857142855
Warholm,2020.0,0.5
Warholm,2021.0,0.4
Warholm,2023.0,0.8333333333333334
Warholm,2024.0,0.6
dos Santos,2019.0,0.0
dos Santos,2021.0,0.0
dos Santos,2022.0,0.75
dos Santos,2023.0,0.5
dos Santos,2024.0,0.75
